	contamination	data	f1_macro	in_f1	in_prec	in_rec	inlier_classes	labeled_data	n_oe	out_f1	out_prec	out_rec	outlier_classes	seed	test_size	use_ivis
85	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[0]	1.0	0.0	0.0	0.0	0.0	[15]	42.0	0.2	1.0
86	0.16666666666666666	train	0.9807653776798237	0.9937888198757764	0.9876543209876543	1.0	[0]	1.0	0.0	0.967741935483871	1.0	0.9375	[15]	43.0	0.2	1.0
87	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[0]	1.0	0.0	0.0	0.0	0.0	[15]	43.0	0.2	1.0
88	0.16666666666666666	train	0.8922558922558923	0.9696969696969697	0.9411764705882353	1.0	[0]	1.0	0.0	0.8148148148148148	1.0	0.6875	[15]	44.0	0.2	1.0
89	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[0]	1.0	0.0	0.0	0.0	0.0	[15]	44.0	0.2	1.0
90	0.16666666666666666	train	0.9807653776798237	0.9937888198757764	0.9876543209876543	1.0	[1]	1.0	0.0	0.967741935483871	1.0	0.9375	[0]	42.0	0.2	1.0
91	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[1]	1.0	0.0	0.0	0.0	0.0	[0]	42.0	0.2	1.0
92	0.16666666666666666	train	0.9807653776798237	0.9937888198757764	0.9876543209876543	1.0	[1]	1.0	0.0	0.967741935483871	1.0	0.9375	[0]	43.0	0.2	1.0
93	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[1]	1.0	0.0	0.0	0.0	0.0	[0]	43.0	0.2	1.0
94	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[0]	44.0	0.2	1.0
95	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[1]	1.0	0.0	0.0	0.0	0.0	[0]	44.0	0.2	1.0
96	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[2]	42.0	0.2	1.0
97	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[1]	1.0	0.0	0.0	0.0	0.0	[2]	42.0	0.2	1.0
98	0.16666666666666666	train	0.9807653776798237	0.9937888198757764	0.9876543209876543	1.0	[1]	1.0	0.0	0.967741935483871	1.0	0.9375	[2]	43.0	0.2	1.0
99	0.16666666666666666	test	0.8095238095238095	0.9523809523809523	0.9090909090909091	1.0	[1]	1.0	0.0	0.6666666666666666	1.0	0.5	[2]	43.0	0.2	1.0
100	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[2]	44.0	0.2	1.0
101	0.16666666666666666	test	0.8095238095238095	0.9523809523809523	0.9090909090909091	1.0	[1]	1.0	0.0	0.6666666666666666	1.0	0.5	[2]	44.0	0.2	1.0
102	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[3]	42.0	0.2	1.0
103	0.16666666666666666	test	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[3]	42.0	0.2	1.0
104	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[3]	43.0	0.2	1.0
105	0.16666666666666666	test	0.7491289198606272	0.9268292682926829	0.9047619047619048	0.95	[1]	1.0	0.0	0.5714285714285715	0.6666666666666666	0.5	[3]	43.0	0.2	1.0
106	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[3]	44.0	0.2	1.0
107	0.16666666666666666	test	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[3]	44.0	0.2	1.0
108	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[4]	42.0	0.2	1.0
109	0.16666666666666666	test	0.6651162790697674	0.9302325581395349	0.8695652173913043	1.0	[1]	1.0	0.0	0.4	1.0	0.25	[4]	42.0	0.2	1.0
110	0.16666666666666666	train	0.9807653776798237	0.9937888198757764	0.9876543209876543	1.0	[1]	1.0	0.0	0.967741935483871	1.0	0.9375	[4]	43.0	0.2	1.0
111	0.16666666666666666	test	0.9163763066202091	0.975609756097561	0.9523809523809523	1.0	[1]	1.0	0.0	0.8571428571428571	1.0	0.75	[4]	43.0	0.2	1.0
112	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[4]	44.0	0.2	1.0
113	0.16666666666666666	test	0.6651162790697674	0.9302325581395349	0.8695652173913043	1.0	[1]	1.0	0.0	0.4	1.0	0.25	[4]	44.0	0.2	1.0
114	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[5]	42.0	0.2	1.0
115	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[1]	1.0	0.0	0.0	0.0	0.0	[5]	42.0	0.2	1.0
116	0.16666666666666666	train	0.9604938271604938	0.9876543209876543	0.975609756097561	1.0	[1]	1.0	0.0	0.9333333333333333	1.0	0.875	[5]	43.0	0.2	1.0
117	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[1]	1.0	0.0	0.0	0.0	0.0	[5]	43.0	0.2	1.0
118	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[5]	44.0	0.2	1.0
119	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[1]	1.0	0.0	0.0	0.0	0.0	[5]	44.0	0.2	1.0
120	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[6]	42.0	0.2	1.0
121	0.16666666666666666	test	0.9163763066202091	0.975609756097561	0.9523809523809523	1.0	[1]	1.0	0.0	0.8571428571428571	1.0	0.75	[6]	42.0	0.2	1.0
122	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[6]	43.0	0.2	1.0
123	0.16666666666666666	test	0.9163763066202091	0.975609756097561	0.9523809523809523	1.0	[1]	1.0	0.0	0.8571428571428571	1.0	0.75	[6]	43.0	0.2	1.0
124	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[6]	44.0	0.2	1.0
125	0.16666666666666666	test	0.9163763066202091	0.975609756097561	0.9523809523809523	1.0	[1]	1.0	0.0	0.8571428571428571	1.0	0.75	[6]	44.0	0.2	1.0
126	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[7]	42.0	0.2	1.0
127	0.16666666666666666	test	0.8095238095238095	0.9523809523809523	0.9090909090909091	1.0	[1]	1.0	0.0	0.6666666666666666	1.0	0.5	[7]	42.0	0.2	1.0
128	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[7]	43.0	0.2	1.0
129	0.16666666666666666	test	0.8736842105263158	0.9473684210526316	1.0	0.9	[1]	1.0	0.0	0.8	0.6666666666666666	1.0	[7]	43.0	0.2	1.0
130	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[7]	44.0	0.2	1.0
131	0.16666666666666666	test	0.6190476190476191	0.9047619047619048	0.8636363636363636	0.95	[1]	1.0	0.0	0.3333333333333333	0.5	0.25	[7]	44.0	0.2	1.0
132	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[8]	42.0	0.2	1.0
133	0.16666666666666666	test	0.6190476190476191	0.9047619047619048	0.8636363636363636	0.95	[1]	1.0	0.0	0.3333333333333333	0.5	0.25	[8]	42.0	0.2	1.0
134	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[8]	43.0	0.2	1.0
135	0.16666666666666666	test	0.8095238095238095	0.9523809523809523	0.9090909090909091	1.0	[1]	1.0	0.0	0.6666666666666666	1.0	0.5	[8]	43.0	0.2	1.0
136	0.16666666666666666	train	0.8390419161676647	0.9580838323353293	0.9195402298850575	1.0	[1]	1.0	0.0	0.72	1.0	0.5625	[8]	44.0	0.2	1.0
137	0.16666666666666666	test	0.45454545454545453	0.9090909090909091	0.8333333333333334	1.0	[1]	1.0	0.0	0.0	0.0	0.0	[8]	44.0	0.2	1.0
138	0.16666666666666666	train	1.0	1.0	1.0	1.0	[1]	1.0	0.0	1.0	1.0	1.0	[9]	42.0	0.2	1.0
