	f1_macro	in_f1	out_f1	out_rec	out_prec	seed	i_umap	i_ivis	contamination	fraction	time_umap	time_ivis
35	0.9600018329553917	0.9926233539150866	0.9273803119956966	0.9410480349344978	0.9141039236479321	44	2	3	0.1	0.15	47.91425165999681	111.34293900699777
36	0.9579612262881193	0.9924221773973724	0.9235002751788662	0.915938864628821	0.9311875693673696	45	0	0	0.1	0.15	47.02750461500182	71.00639284799763
37	0.95884813193189	0.9925861317051896	0.9251101321585904	0.9170305676855895	0.9333333333333333	45	0	1	0.1	0.15	47.02750461500182	131.26723180400222
38	0.9604673970061655	0.9929170752969378	0.9280177187153931	0.9148471615720524	0.9415730337078652	45	0	2	0.1	0.15	47.02750461500182	61.678600504001224
39	0.9599391813569782	0.9928065395095367	0.9270718232044198	0.915938864628821	0.9384787472035794	45	0	3	0.1	0.15	47.02750461500182	84.44102597999881
40	0.9585661007300168	0.9925312108161151	0.9246009906439185	0.9170305676855895	0.9322974472807991	45	1	0	0.1	0.15	53.44194607299869	63.39547863600092
41	0.9585249657055201	0.9925320250749522	0.9245179063360882	0.915938864628821	0.9332591768631813	45	1	1	0.1	0.15	53.44194607299869	61.75120059999972
42	0.9590898157421295	0.992641848803619	0.9255377826806399	0.915938864628821	0.935340022296544	45	1	2	0.1	0.15	53.44194607299869	83.91960786399795
43	0.9585249657055201	0.9925320250749522	0.9245179063360882	0.915938864628821	0.9332591768631813	45	1	3	0.1	0.15	53.44194607299869	43.34383975699893
44	0.961475820115649	0.9930786418878413	0.9298729983434566	0.9192139737991266	0.9407821229050279	45	2	0	0.1	0.15	47.11642084699997	80.25041245600005
45	0.958284346589713	0.9924762839385017	0.9240924092409242	0.9170305676855895	0.9312638580931264	45	2	1	0.1	0.15	47.11642084699997	87.00632254200173
46	0.9588072516641103	0.9925869399324103	0.9250275633958103	0.915938864628821	0.9342984409799554	45	2	2	0.1	0.15	47.11642084699997	78.52812129299855
47	0.9599391813569782	0.9928065395095367	0.9270718232044198	0.915938864628821	0.9384787472035794	45	2	3	0.1	0.15	47.11642084699997	75.79230438399827
48	0.9659259291611482	0.9938375961171402	0.9380142622051563	0.9334061135371179	0.9426681367144433	46	0	0	0.1	0.15	47.61094167200281	46.61870585100041
49	0.9656073973306945	0.993783400588941	0.9374313940724479	0.9323144104803494	0.9426048565121413	46	0	1	0.1	0.15	47.61094167200281	69.02676866299953
50	0.9651417992541118	0.9936715766503	0.9366120218579235	0.9355895196506551	0.937636761487965	46	0	2	0.1	0.15	47.61094167200281	54.90152408300128
51	0.9656413612565445	0.993782722513089	0.9375000000000001	0.9334061135371179	0.9416299559471366	46	0	3	0.1	0.15	47.61094167200281	51.83479038099904
52	0.9653912202792401	0.9937271586756122	0.937055281882868	0.9344978165938864	0.9396267837541163	46	1	0	0.1	0.15	47.357504013001744	60.50427596499867
53	0.9648585822832441	0.9936166730318075	0.9361004915346806	0.9355895196506551	0.9366120218579235	46	1	1	0.1	0.15	47.357504013001744	123.08001959499961
54	0.9653912202792401	0.9937271586756122	0.937055281882868	0.9344978165938864	0.9396267837541163	46	1	2	0.1	0.15	47.357504013001744	100.41444109999793
55	0.9656752499650216	0.9937820442892985	0.9375684556407448	0.9344978165938864	0.9406593406593406	46	1	3	0.1	0.15	47.357504013001744	93.91259090099993
56	0.9653912202792401	0.9937271586756122	0.937055281882868	0.9344978165938864	0.9396267837541163	46	2	0	0.1	0.15	46.80471846099681	108.69670032999784
57	0.9656413612565445	0.993782722513089	0.9375000000000001	0.9334061135371179	0.9416299559471366	46	2	1	0.1	0.15	46.80471846099681	92.32080914900143
58	0.9656413612565445	0.993782722513089	0.9375000000000001	0.9334061135371179	0.9416299559471366	46	2	2	0.1	0.15	46.80471846099681	113.77759788000185
59	0.9656413612565445	0.993782722513089	0.9375000000000001	0.9334061135371179	0.9416299559471366	46	2	3	0.1	0.15	46.80471846099681	141.60330618199805
