	param_tagged_docs__lower	param_vectorize__min_count	param_reduce_dim__set_op_mix_ratio	param_reduce_dim__n_components	param_reduce_dim__metric	param_vectorize__window	param_vectorize__size	param_tagged_docs	subset	contamination	data_frac	dataset_name	mean_test_f1_macro	mean_test_f1_micro	mean_test_out_f1	mean_test_out_prec	mean_test_out_rec	mean_test_in_f1	params	param_vectorize__min_df	param_vectorize	param_reduce_dim	param_classify__metric	param_classify	mean_score_time	mean_fit_time
144										0.1	0.1	imdb_20news	0.44740485536616464	0.8096443724877177	0.0	0.0	0.0	0.8948097107323293	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': 'passthrough', 'vectorize': TfidfVectorizer(min_df=75, stop_words='english'), 'vectorize__min_df': 10}	10.0	TfidfVectorizer(min_df=75, stop_words='english')	passthrough	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	0.921356439590454	1.934438943862915
145			0.0	2.0	euclidean					0.1	0.1	imdb_20news	0.4329083872515469	0.6702227424020076	0.08698337409520987	0.05070633732054799	0.3070446569432371	0.778833400407884	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 2, 'reduce_dim__set_op_mix_ratio': 0.0, 'vectorize': TfidfVectorizer(min_df=25, stop_words='english'), 'vectorize__min_df': 25}	25.0	TfidfVectorizer(min_df=25, stop_words='english')	UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	75.23918366432191	34.714984019597374
146			0.05	2.0	euclidean					0.1	0.1	imdb_20news	0.4262069191675309	0.7298968900869861	0.04258064516129032	0.024498886414253896	0.1625615763546798	0.8098331931737713	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 2, 'reduce_dim__set_op_mix_ratio': 0.05, 'vectorize': TfidfVectorizer(min_df=25, stop_words='english'), 'vectorize__min_df': 25}	25.0	TfidfVectorizer(min_df=25, stop_words='english')	UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	67.22687403361003	41.58979829152426
147			0.0	15.0	euclidean					0.1	0.1	imdb_20news	0.41427273542358173	0.6172483464131521	0.11903080602462505	0.07187162393477775	0.38001062493963095	0.7095146648225387	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 15, 'reduce_dim__set_op_mix_ratio': 0.0, 'vectorize': TfidfVectorizer(min_df=25, stop_words='english'), 'vectorize__min_df': 10}	10.0	TfidfVectorizer(min_df=25, stop_words='english')	UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	77.85320576032001	31.712455352147423
148			0.1	200.0	euclidean					0.1	0.1	imdb_20news	0.4066684419374337	0.6286943841851166	0.09859011458808764	0.06698802855560583	0.3563781834572909	0.7147467692867799	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 200, 'reduce_dim__set_op_mix_ratio': 0.1, 'vectorize': TfidfVectorizer(min_df=25, stop_words='english'), 'vectorize__min_df': 25}	25.0	TfidfVectorizer(min_df=25, stop_words='english')	UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	71.48062578837076	140.746874888738
149			0.05	2.0	euclidean					0.1	0.1	imdb_20news	0.3506775631840573	0.6246860311788852	0.06855862526222879	0.059379540467687335	0.3399095270292025	0.6327965011058857	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 2, 'reduce_dim__set_op_mix_ratio': 0.05, 'vectorize': TfidfVectorizer(min_df=25, stop_words='english'), 'vectorize__min_df': 75}	75.0	TfidfVectorizer(min_df=25, stop_words='english')	UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	52.452073097229004	45.38870167732239
150			0.05	200.0	euclidean					0.1	0.1	imdb_20news	0.3450292727893726	0.5736744055594548	0.0925855266236278	0.1576320415320746	0.3578672848449725	0.5974730189551173	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 200, 'reduce_dim__set_op_mix_ratio': 0.05, 'vectorize': TfidfVectorizer(min_df=25, stop_words='english'), 'vectorize__min_df': 10}	10.0	TfidfVectorizer(min_df=25, stop_words='english')	UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	81.24518895149231	131.54044802983606
151			0.1	50.0	euclidean					0.1	0.1	imdb_20news	0.3395965806750321	0.5872160722261214	0.07301910358036978	0.15260943945292002	0.3546717537589748	0.6061740577696946	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 50, 'reduce_dim__set_op_mix_ratio': 0.1, 'vectorize': TfidfVectorizer(min_df=25, stop_words='english'), 'vectorize__min_df': 10}	10.0	TfidfVectorizer(min_df=25, stop_words='english')	UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	77.7971982161204	68.51597301165263
152			0.05	50.0	euclidean					0.1	0.1	imdb_20news	0.3372827711426682	0.5279900811374126	0.10455074869854508	0.06569453129980753	0.4134389387939084	0.5700147935867913	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 50, 'reduce_dim__set_op_mix_ratio': 0.05, 'vectorize': TfidfVectorizer(min_df=25, stop_words='english'), 'vectorize__min_df': 25}	25.0	TfidfVectorizer(min_df=25, stop_words='english')	UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	68.13919703165689	70.9907279809316
153			0.0	2.0	euclidean					0.1	0.1	imdb_20news	0.32926390087346274	0.5020698414470747	0.07428811335971634	0.04180633256185881	0.3443848803889372	0.5842396883872092	{'classify': LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True), 'classify__metric': 'euclidean', 'reduce_dim': UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0), 'reduce_dim__metric': 'euclidean', 'reduce_dim__n_components': 2, 'reduce_dim__set_op_mix_ratio': 0.0, 'vectorize': TfidfVectorizer(min_df=25, stop_words='english'), 'vectorize__min_df': 10}	10.0	TfidfVectorizer(min_df=25, stop_words='english')	UMAP(n_components=15, random_state=42, set_op_mix_ratio=0.0)	euclidean	LocalOutlierFactor(contamination=0.1, metric='euclidean', novelty=True)	99.6781228383382	53.568360487620026
