	Unnamed: 0	allow_noise	cluster_n	completeness	f1_macro	f1_macro_LOF	hash	homogeneity	in_f1	in_f1_LOF	min_cluster_size	mix_ratio	model_data_frac	model_desc	model_epochs	model_min_count	model_name	model_path	model_train_data	model_type	n_comps	out_f1	out_f1_LOF	out_prec	out_prec_LOF	out_rec	out_rec_LOF	test_data_contamination	test_data_fraction	test_data_name	test_data_path	test_data_seed	time	umap_metric	v_measure
29	29	0.0	3.0	1.0	0.5824002660600315	0.5064730417073099	200|0.15|cosine|45|False	0.0	0.9202635914332784	0.9057660626029652	45.0	0.15	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	200.0	0.2445369406867846	0.10718002081165454	0.2333664349553128	0.10228401191658393	0.2568306010928962	0.11256830601092896	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	82.68733959599922	cosine	0.0
30	30	0.0	1.0	1.0	0.4761929541551752	0.4892168543544188	200|0.0|cosine|90|False	0.0	0.9523859083103504	0.9024711696869852	90.0	0.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	200.0	0.0	0.07596253902185224	0.0	0.07249255213505462	0.0	0.07978142076502732	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	147.63471605200175	cosine	0.0
31	31	0.0	1.0	1.0	0.4761929541551752	0.4892168543544188	200|0.0|cosine|45|False	0.0	0.9523859083103504	0.9024711696869852	45.0	0.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	200.0	0.0	0.07596253902185224	0.0	0.07249255213505462	0.0	0.07978142076502732	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	172.01325210300274	cosine	0.0
32	32	0.0	3.0	1.0	0.7112464649616196	0.5122251041582737	45|1.0|cosine|90|False	0.0	0.9448654585392642	0.9068643602416254	90.0	1.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	45.0	0.477627471383975	0.11758584807492195	0.4558093346573982	0.11221449851042703	0.5016393442622951	0.12349726775956285	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	46.76686482500372	cosine	0.0
33	33	0.0	3.0	1.0	0.7515109021183658	0.5122251041582737	45|1.0|cosine|45|False	0.0	0.9525535420098846	0.9068643602416254	45.0	1.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	45.0	0.5504682622268471	0.11758584807492195	0.5253227408142999	0.11221449851042703	0.5781420765027322	0.12349726775956285	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	45.28477111599932	cosine	0.0
34	34	0.0	3.0	1.0	0.5179771666092374	0.5122251041582737	45|1.0|cosine|15|False	0.0	0.9079626578802856	0.9068643602416254	15.0	1.0	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	45.0	0.1279916753381894	0.11758584807492195	0.1221449851042701	0.11221449851042703	0.13442622950819672	0.12349726775956285	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	44.64740373300447	cosine	0.0
35	35	0.0	3.0	1.0	0.7083704337361377	0.5197027853445266	45|0.4|cosine|90|False	0.0	0.9443163097199342	0.9082921471718836	90.0	0.4	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	45.0	0.4724245577523413	0.13111342351716962	0.4508440913604767	0.12512413108242304	0.4961748633879781	0.1377049180327869	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	30.961336034997654	cosine	0.0
36	36	0.0	3.0	1.0	0.5800994410796461	0.5197027853445266	45|0.4|cosine|15|False	0.0	0.9198242723778144	0.9082921471718836	15.0	0.4	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	45.0	0.24037460978147765	0.13111342351716962	0.2293942403177756	0.12512413108242304	0.25245901639344265	0.1377049180327869	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	29.216089995999933	cosine	0.0
37	37	0.0	3.0	1.0	0.7106712587165231	0.5099242791778882	45|0.3|cosine|90|False	0.0	0.9447556287753982	0.9064250411861614	90.0	0.3	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	45.0	0.4765868886576482	0.113423517169615	0.4548162859980139	0.10824230387288976	0.5005464480874317	0.11912568306010927	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	30.503859424999966	cosine	0.0
38	38	0.0	3.0	1.0	0.628991971912838	0.5099242791778882	45|0.3|cosine|45|False	0.0	0.9291598023064253	0.9064250411861614	45.0	0.3	1.0	doc2vecimdb20news1010001	100.0	1.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_100_min1/doc2vec_wiki.bin	imdb_20news	doc2vec	45.0	0.3288241415192508	0.113423517169615	0.3138033763654419	0.10824230387288976	0.3453551912568306	0.11912568306010927	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	29.139644034999947	cosine	0.0
