	contamination	dim_reduce_time	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	epochs	f1_macro	fraction	hidden_neurons	in_f1	metric	model_name	model_path	model_train_data	model_type	n_components	out_f1	out_prec	out_rec	outlier_detector	seed	set_op_mix_ratio	time
26	0.1	260.7041872550035	1.0	100.0	1.0	10.0	0.9119526378831487	1.0	[1]	0.9816202445990188	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.8422850311672787	0.879144385026738	0.8083920668742829	AE	42.0	1.0	13.895245838997653
27	0.1	260.7041872550035	1.0	100.0	1.0	100.0	0.9131920701598343	1.0	[1]	0.9818789742364988	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.8445051660831697	0.8814616755793226	0.8105228651040813	AE	42.0	1.0	130.45986569600063
28	0.1	297.0552644119889	1.0	100.0	1.0	1.0	0.9512331069596434	1.0	[1]	0.9898199838791534	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	32.0	0.9126462300401332	0.9525846702317291	0.8759219800032781	AE	42.0	1.0	4.238110089005204
29	0.1	297.0552644119889	1.0	100.0	1.0	2.0	0.9524725392363289	1.0	[1]	0.9900787135166335	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	32.0	0.9148663649560244	0.9549019607843138	0.8780527782330766	AE	42.0	1.0	4.351122988999123
30	0.1	297.0552644119889	1.0	100.0	1.0	3.0	0.9526632211250496	1.0	[1]	0.9901185180762456	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	32.0	0.9152079241738537	0.9552584670231729	0.8783805933453532	AE	42.0	1.0	5.6753220170066925
31	0.1	297.0552644119889	1.0	100.0	1.0	4.0	0.9526632211250496	1.0	[1]	0.9901185180762456	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	32.0	0.9152079241738537	0.9552584670231729	0.8783805933453532	AE	42.0	1.0	7.126180047998787
32	0.1	297.0552644119889	1.0	100.0	1.0	5.0	0.9527585620694101	1.0	[1]	0.9901384203560518	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	32.0	0.9153787037827683	0.9554367201426025	0.8785445009014916	AE	42.0	1.0	8.274124231000314
33	0.1	297.0552644119889	1.0	100.0	1.0	10.0	0.953425948679933	1.0	[1]	0.9902777363146948	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	32.0	0.9165741610451711	0.9566844919786096	0.8796918537944599	AE	42.0	1.0	14.984835953990114
34	0.1	297.0552644119889	1.0	100.0	1.0	100.0	0.9536166305686539	1.0	[1]	0.9903175408743071	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	32.0	0.9169157202630006	0.9570409982174688	0.8800196689067366	AE	42.0	1.0	135.10063310500118
35	0.1	345.41648967198853	1.0	100.0	1.0	1.0	0.9575256092874312	1.0	[1]	0.9911335343463593	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	64.0	0.9239176842285032	0.964349376114082	0.8867398787084084	AE	42.0	1.0	4.72277727900655
36	0.1	345.41648967198853	1.0	100.0	1.0	2.0	0.9571442455099896	1.0	[1]	0.9910539252271348	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	64.0	0.9232345657928444	0.9636363636363636	0.8860842484838551	AE	42.0	1.0	4.586716533987783
37	0.1	345.41648967198853	1.0	100.0	1.0	3.0	0.9567628817325478	1.0	[1]	0.9909743161079101	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	64.0	0.9225514473571855	0.9629233511586452	0.8854286182593017	AE	42.0	1.0	6.116156522999518
38	0.1	345.41648967198853	1.0	100.0	1.0	4.0	0.956572199843827	1.0	[1]	0.9909345115482979	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	64.0	0.9222098881393561	0.9625668449197861	0.8851008031470251	AE	42.0	1.0	7.364021348999813
39	0.1	345.41648967198853	1.0	100.0	1.0	5.0	0.9564768588994665	1.0	[1]	0.9909146092684917	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	64.0	0.9220391085304415	0.9623885918003565	0.8849368955908867	AE	42.0	1.0	8.843646523004281
40	0.1	345.41648967198853	1.0	100.0	1.0	10.0	0.9560954951220249	1.0	[1]	0.9908350001492671	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	64.0	0.9213559900947828	0.9616755793226381	0.8842812653663333	AE	42.0	1.0	16.136060384000302
41	0.1	345.41648967198853	1.0	100.0	1.0	100.0	0.9560001541776646	1.0	[1]	0.990815097869461	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	64.0	0.9211852104858681	0.9614973262032086	0.8841173578101951	AE	42.0	1.0	145.48616213300556
42	0.1	637.6221151960053	1.0	100.0	1.0	1.0	0.9566675407881874	1.0	[1]	0.990954413828104	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	256.0	0.9223806677482708	0.9627450980392157	0.8852647107031634	AE	42.0	1.0	7.171675849996973
43	0.1	637.6221151960053	1.0	100.0	1.0	2.0	0.9567628817325478	1.0	[1]	0.9909743161079101	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	256.0	0.9225514473571855	0.9629233511586452	0.8854286182593017	AE	42.0	1.0	8.039629976003198
44	0.1	637.6221151960053	1.0	100.0	1.0	3.0	0.9567628817325478	1.0	[1]	0.9909743161079101	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	256.0	0.9225514473571855	0.9629233511586452	0.8854286182593017	AE	42.0	1.0	10.835397208997165
45	0.1	637.6221151960053	1.0	100.0	1.0	4.0	0.9567628817325478	1.0	[1]	0.9909743161079101	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	256.0	0.9225514473571855	0.9629233511586452	0.8854286182593017	AE	42.0	1.0	13.681292288005352
46	0.1	637.6221151960053	1.0	100.0	1.0	5.0	0.9568582226769082	1.0	[1]	0.9909942183877164	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	256.0	0.9227222269661002	0.9631016042780749	0.8855925258154401	AE	42.0	1.0	16.245372069010045
47	0.1	637.6221151960053	1.0	100.0	1.0	10.0	0.9568582226769082	1.0	[1]	0.9909942183877164	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	256.0	0.9227222269661002	0.9631016042780749	0.8855925258154401	AE	42.0	1.0	30.240156186991953
48	0.1	637.6221151960053	1.0	100.0	1.0	100.0	0.9568582226769082	1.0	[1]	0.9909942183877164	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	256.0	0.9227222269661002	0.9631016042780749	0.8855925258154401	AE	42.0	1.0	279.8289447129937
49	0.1	729.3506748020009	1.0	100.0	1.0	1.0	0.9616252698949295	1.0	[1]	0.9919893323780239	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	300.0	0.9312612074118349	0.9720142602495544	0.8937879036223569	AE	42.0	1.0	8.704198685998563
50	0.1	729.3506748020009	1.0	100.0	1.0	2.0	0.9616252698949295	1.0	[1]	0.9919893323780239	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	300.0	0.9312612074118349	0.9720142602495544	0.8937879036223569	AE	42.0	1.0	9.4861001100071
51	0.1	729.3506748020009	1.0	100.0	1.0	3.0	0.9616252698949295	1.0	[1]	0.9919893323780239	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	300.0	0.9312612074118349	0.9720142602495544	0.8937879036223569	AE	42.0	1.0	12.22530883300351
52	0.1	729.3506748020009	1.0	100.0	1.0	4.0	0.96172061083929	1.0	[1]	0.9920092346578302	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	300.0	0.9314319870207497	0.9721925133689839	0.8939518111784953	AE	42.0	1.0	15.637691904994426
53	0.1	729.3506748020009	1.0	100.0	1.0	5.0	0.96172061083929	1.0	[1]	0.9920092346578302	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	300.0	0.9314319870207497	0.9721925133689839	0.8939518111784953	AE	42.0	1.0	18.826727102001314
