	as_numpy	contamination	dim_reduce_time	dim_reducer	distance	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	embedding_dims	f1_macro	fraction	in_f1	k	kwargs	metric	model	model_name	model_path	model_train_data	model_type	n_components	n_epochs_without_progress	name	out_f1	out_prec	out_rec	seed	set_op_mix_ratio	time
33	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.961555955927937	0.15	0.9932476584622087	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	5.0	UMAP	0.9298642533936652	0.9636576787807737	0.898360655737705	43.0	1.0	104.27983910200419
34	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.9588653056645186	0.15	0.992815935561119	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	szubert	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	5.0	UMAP	0.9249146757679181	0.9644128113879004	0.8885245901639345	43.0	1.0	23.721763537003426
35	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.5564189197144389	0.15	0.9052994494800645	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	hinton	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	5.0	UMAP	0.20753838994881338	0.18071312803889789	0.24371584699453552	43.0	1.0	287.7036941629922
36	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.7755376572607064	0.15	0.956985112344119	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	15.0	UMAP	0.5940902021772939	0.5650887573964497	0.6262295081967213	43.0	1.0	162.34027311000682
37	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.41354600486662313	0.15	0.7404477897556929	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	szubert	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	15.0	UMAP	0.08664421997755331	0.054519774011299434	0.21092896174863388	43.0	1.0	60.14830720399914
38	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.6470835600431997	0.15	0.9226220362622036	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	hinton	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	15.0	UMAP	0.37154508382419577	0.3173374613003096	0.44808743169398907	43.0	1.0	435.5467032669985
39	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.4843685492106374	0.15	0.8908393978112326	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	25.0	UMAP	0.07789770061004223	0.06825657894736842	0.0907103825136612	43.0	1.0	239.02846329499152
40	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.4898667554700529	0.15	0.8986929906799757	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	szubert	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	25.0	UMAP	0.08104052026013006	0.07472324723247233	0.08852459016393442	43.0	1.0	47.58905416200287
41	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.6374781032418075	0.15	0.8556899224806201	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	hinton	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	25.0	UMAP	0.4192662840029948	0.2716688227684347	0.9180327868852459	43.0	1.0	524.2842315900052
42	0.0	0.1	59.69454845000291	<class 'umap.umap_.UMAP'>	pn	0.5	15.0	30.0	1.0	0.6794281759312701	0.15	0.9390130098259868	50.0	{'n_components': [300, 8], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	allnews_05_15_30	/home/philipp/projects/dad4td/models/all_news_05_30_30/all_news.bin	all_news	doc2vec	300.0	50.0	UMAP	0.41984334203655355	0.402	0.43934426229508194	43.0	1.0	340.6920414999913
