	allow_noise	cluster_n	completeness	f1_macro	f1_macro_LOF	hash	homogeneity	in_f1	in_f1_LOF	min_cluster_size	mix_ratio	model_data_frac	model_desc	model_epochs	model_min_count	model_name	model_path	model_train_data	model_type	n_comps	out_f1	out_f1_LOF	out_prec	out_prec_LOF	out_rec	out_rec_LOF	test_data_contamination	test_data_fraction	test_data_name	test_data_path	test_data_seed	time	umap_metric	v_measure
21	0.0	2.0	1.0	0.6220894969716815	0.5455870663738634	15|1.0|cosine|45|False	0.0	0.927841845140033	0.9132344865458539	45.0	1.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	15.0	0.31633714880332986	0.17793964620187305	0.3018867924528302	0.16981132075471697	0.33224043715846996	0.18688524590163935	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	29.173651832003088	cosine	0.0
22	0.0	3.0	1.0	0.4633325733250818	0.5317821164915505	15|0.4|cosine|90|False	0.0	0.8975288303130149	0.9105985722130697	90.0	0.4	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	15.0	0.0291363163371488	0.1529656607700312	0.027805362462760674	0.14597815292949354	0.030601092896174863	0.16065573770491803	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	19.85918393299653	cosine	0.0
23	0.0	3.0	1.0	0.545011860128767	0.6169126407658141	3|1.0|cosine|90|False	0.0	0.9131246567819878	0.9268533772652389	90.0	1.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	3.0	0.1768990634755463	0.3069719042663892	0.16881827209533268	0.2929493545183714	0.18579234972677597	0.3224043715846995	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	22.292673255004047	cosine	0.0
24	0.0	3.0	1.0	0.48921685435441875	0.5404102101679962	6|0.0|cosine|90|False	0.0	0.9024711696869853	0.9122460186710599	90.0	0.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	6.0	0.07596253902185224	0.16857440166493234	0.07249255213505462	0.1608738828202582	0.07978142076502732	0.17704918032786884	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	45.562506668000424	cosine	0.0
25	0.0	3.0	1.0	0.5887275347560916	0.5266052602856831	6|0.15|cosine|45|False	0.0	0.9214717188358045	0.9096101043382757	45.0	0.15	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	6.0	0.2559833506763788	0.1436004162330905	0.2442899702085402	0.13704071499503476	0.26885245901639343	0.15081967213114755	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	13.83521078400372	cosine	0.0
26	0.0	3.0	1.0	0.49611932929557523	0.5266052602856831	6|0.15|cosine|90|False	0.0	0.9037891268533773	0.9096101043382757	90.0	0.15	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	6.0	0.08844953173777315	0.1436004162330905	0.08440913604766634	0.13704071499503476	0.09289617486338798	0.15081967213114755	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	14.07199732400477	cosine	0.0
27	0.0	3.0	1.0	0.5727105003237113	0.5260300540405867	6|0.3|cosine|45|False	0.0	0.9184558783153038	0.9095002745744096	45.0	0.3	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	6.0	0.22696512233211866	0.14255983350676377	0.21669980119284293	0.13604766633565044	0.23825136612021858	0.14972677595628414	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	15.51320697900519	cosine	0.0
28	0.0	3.0	1.0	0.4708102545113347	0.5260300540405867	6|0.3|cosine|90|False	0.0	0.8989566172432729	0.9095002745744096	90.0	0.3	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	6.0	0.042663891779396466	0.14255983350676377	0.0407149950347567	0.13604766633565044	0.04480874316939891	0.14972677595628414	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	15.87565588200232	cosine	0.0
29	0.0	2.0	1.0	0.6243903219520669	0.5398350039228998	6|0.4|cosine|15|False	0.0	0.928281164195497	0.912136188907194	15.0	0.4	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	6.0	0.3204994797086368	0.16753381893860564	0.3058589870903674	0.15988083416087387	0.3366120218579235	0.17595628415300546	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	16.66654398499668	cosine	0.0
30	0.0	2.0	1.0	0.5645688724620439	0.5398350039228998	6|0.4|cosine|45|False	0.0	0.9168588687534323	0.912136188907194	45.0	0.4	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	6.0	0.21227887617065558	0.16753381893860564	0.2025819265143992	0.15988083416087387	0.22295081967213115	0.17595628415300546	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	16.77842239200254	cosine	0.0
