	as_numpy	contamination	dim_reduce_time	dim_reducer	distance	embedding_dims	f1_macro	fraction	in_f1	k	kwargs	metric	model	model_name	model_train_data	model_type	n_components	n_epochs_without_progress	name	out_f1	out_prec	out_rec	seed	set_op_mix_ratio	time
23	0.0	0.1	13.096688456003903	<class 'umap.umap_.UMAP'>	pn	1.0	0.4794419797317423	0.05	0.903956657363323	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	64.0	20.0	UMAP	0.05492730210016156	0.054140127388535034	0.05573770491803279	43.0	1.0	21.62692533500376
24	0.0	0.1	14.810287569009233	<class 'umap.umap_.UMAP'>	pn	1.0	0.46554282596835783	0.05	0.904418985270049	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	128.0	20.0	UMAP	0.02666666666666667	0.02711864406779661	0.02622950819672131	43.0	1.0	24.71429863499361
25	0.0	0.1	20.193242319001	<class 'umap.umap_.UMAP'>	pn	1.0	0.47146313838550247	0.05	0.899176276771005	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	256.0	20.0	UMAP	0.043750000000000004	0.041791044776119404	0.04590163934426229	43.0	1.0	88.66430223199131
26	0.0	0.1	26.095796269000857	<class 'umap.umap_.UMAP'>	pn	1.0	0.45571378848570304	0.05	0.8906560636182903	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	300.0	20.0	UMAP	0.020771513353115726	0.018970189701897018	0.022950819672131147	43.0	1.0	65.56917932599026
27		0.1	1.9392013200558722e-05		pn	1.0	0.5791538524756801	0.05	0.9239842726081258	15.0			maaten	glove	unknown	wordembeddingpool		20.0		0.23432343234323433	0.23588039867109634	0.23278688524590163	43.0		26.185837386001367
28	0.0	0.1	13.506981812999584	<class 'umap.umap_.UMAP'>	pn	1.0	0.5513995049251758	0.05	0.9025246614278549	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	2.0	20.0	UMAP	0.20027434842249656	0.1721698113207547	0.23934426229508196	44.0	1.0	19.768337439003517
29	0.0	0.1	14.285435912999674	<class 'umap.umap_.UMAP'>	pn	1.0	0.5149618112384069	0.05	0.9132569558101472	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	8.0	20.0	UMAP	0.11666666666666667	0.11864406779661017	0.11475409836065574	44.0	1.0	19.15068829699885
30	0.0	0.1	15.006692248003674	<class 'umap.umap_.UMAP'>	pn	1.0	0.5371451737732309	0.05	0.9173621338569793	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	64.0	20.0	UMAP	0.15692821368948245	0.1598639455782313	0.1540983606557377	44.0	1.0	19.831302120001055
31	0.0	0.1	16.31272034200083	<class 'umap.umap_.UMAP'>	pn	1.0	0.5366202226895934	0.05	0.918097106424718	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	128.0	20.0	UMAP	0.1551433389544688	0.1597222222222222	0.15081967213114755	44.0	1.0	24.066569700997206
32	0.0	0.1	26.72510058899934	<class 'umap.umap_.UMAP'>	pn	1.0	0.5892060415711315	0.05	0.9232286700641131	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	256.0	20.0	UMAP	0.25518341307814996	0.2484472049689441	0.26229508196721313	44.0	1.0	79.60198847399442
33	0.0	0.1	26.555300681997323	<class 'umap.umap_.UMAP'>	pn	1.0	0.6403490361844144	0.05	0.9338585261775808	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	extvec	unknown	wordembeddingpool	300.0	20.0	UMAP	0.346839546191248	0.34294871794871795	0.35081967213114756	44.0	1.0	49.66470233000291
34		0.1	8.83398752193898e-06		pn	1.0	0.5573351445815544	0.05	0.9152933421226104	15.0			maaten	extvec	unknown	wordembeddingpool		20.0		0.19937694704049844	0.18991097922848665	0.2098360655737705	44.0		37.60827394599619
35	0.0	0.1	11.810891752000316	<class 'umap.umap_.UMAP'>	pn	1.0	0.6953342493459616	0.05	0.9392484687965568	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	2.0	20.0	UMAP	0.4514200298953663	0.41483516483516486	0.49508196721311476	44.0	1.0	19.06073602900142
36	0.0	0.1	12.289310241991188	<class 'umap.umap_.UMAP'>	pn	1.0	0.47511853650983543	0.05	0.9044105591080506	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	8.0	20.0	UMAP	0.0458265139116203	0.0457516339869281	0.04590163934426229	44.0	1.0	23.16037650599901
37	0.0	0.1	13.61449054699915	<class 'umap.umap_.UMAP'>	pn	1.0	0.47219926902907994	0.05	0.9024630541871921	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	64.0	20.0	UMAP	0.041935483870967745	0.04126984126984127	0.04262295081967213	44.0	1.0	25.523202225987916
38	0.0	0.1	19.501868484992883	<class 'umap.umap_.UMAP'>	pn	1.0	0.47108891099672123	0.05	0.8986319432998188	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	128.0	20.0	UMAP	0.04354587869362364	0.04142011834319527	0.04590163934426229	44.0	1.0	24.97636583900021
39	0.0	0.1	19.90053423299105	<class 'umap.umap_.UMAP'>	pn	1.0	0.4690016787338128	0.05	0.902346955522731	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	256.0	20.0	UMAP	0.03565640194489465	0.035256410256410256	0.036065573770491806	44.0	1.0	80.05905041600636
40	0.0	0.1	30.285249565000413	<class 'umap.umap_.UMAP'>	pn	1.0	0.4799852668538682	0.05	0.8932071084537452	15.0	{'n_components': [2, 8, 64, 128, 256, 300], 'set_op_mix_ratio': [1.0], 'metric': ['cosine']}	cosine	maaten	glove	unknown	wordembeddingpool	300.0	20.0	UMAP	0.06676342525399129	0.059895833333333336	0.07540983606557378	44.0	1.0	60.014584260003176
41		0.1	6.315996870398521e-06		pn	1.0	0.6063637327035456	0.05	0.9288990825688074	15.0			maaten	glove	unknown	wordembeddingpool		20.0		0.2838283828382838	0.2857142857142857	0.2819672131147541	44.0		22.77868720400147
