	allow_noise	cluster_n	completeness	f1_macro	f1_macro_LOF	hash	homogeneity	in_f1	in_f1_LOF	min_cluster_size	mix_ratio	model_data_frac	model_desc	model_epochs	model_min_count	model_name	model_path	model_size_params	model_train_data	model_type	n_comps	out_f1	out_f1_LOF	out_prec	out_prec_LOF	out_rec	out_rec_LOF	test_data_contamination	test_data_fraction	test_data_name	test_data_path	test_data_seed	time	umap_metric	v_measure
22	0.0	1.0	1.0	0.47619295415517515	0.6203638782363923	-1|0.3|cosine|500|False	0.0	0.9523859083103503	0.9275123558484349	500.0	0.3		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31321540062434966	0.0	0.29890764647467727	0.0	0.3289617486338798	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	375.1357547719963	cosine	0.0
23	0.0	1.0	1.0	0.47619295415517515	0.6203638782363923	-1|0.3|cosine|250|False	0.0	0.9523859083103503	0.9275123558484349	250.0	0.3		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31321540062434966	0.0	0.29890764647467727	0.0	0.3289617486338798	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	361.6342733190104	cosine	0.0
24	0.0	1.0	1.0	0.47619295415517515	0.6186382595011031	-1|0.3|euclidean|500|False	0.0	0.9523859083103503	0.9271828665568369	500.0	0.3		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31009365244536935	0.0	0.2959285004965243	0.0	0.3256830601092896	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	486.27334198899916	euclidean	0.0
25	0.0	1.0	1.0	0.47619295415517515	0.6364696530990909	-1|1.0|cosine|250|False	0.0	0.9523859083103503	0.9305875892366833	250.0	1.0		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.3423517169614984	0.0	0.32671300893743793	0.0	0.35956284153005463	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	358.9987454469956	cosine	0.0
26	0.0	1.0	1.0	0.47619295415517515	0.6186382595011031	-1|0.3|euclidean|250|False	0.0	0.9523859083103503	0.9271828665568369	250.0	0.3		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31009365244536935	0.0	0.2959285004965243	0.0	0.3256830601092896	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	472.53539846200147	euclidean	0.0
27	0.0	1.0	1.0	0.47619295415517515	0.6203638782363923	-1|0.15|cosine|500|False	0.0	0.9523859083103503	0.9275123558484349	500.0	0.15		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31321540062434966	0.0	0.29890764647467727	0.0	0.3289617486338798	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	375.2474700269813	cosine	0.0
28	0.0	1.0	1.0	0.47619295415517515	0.6203638782363923	-1|0.15|cosine|250|False	0.0	0.9523859083103503	0.9275123558484349	250.0	0.15		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31321540062434966	0.0	0.29890764647467727	0.0	0.3289617486338798	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	361.9570632110117	cosine	0.0
29	0.0	1.0	1.0	0.47619295415517515	0.6186382595011031	-1|0.15|euclidean|500|False	0.0	0.9523859083103503	0.9271828665568369	500.0	0.15		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31009365244536935	0.0	0.2959285004965243	0.0	0.3256830601092896	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	492.6523205669946	euclidean	0.0
30	0.0	1.0	1.0	0.47619295415517515	0.6186382595011031	-1|0.15|euclidean|250|False	0.0	0.9523859083103503	0.9271828665568369	250.0	0.15		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31009365244536935	0.0	0.2959285004965243	0.0	0.3256830601092896	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	496.60459643398644	euclidean	0.0
31	0.0	1.0	1.0	0.47619295415517515	0.6186382595011031	-1|1.0|euclidean|500|False	0.0	0.9523859083103503	0.9271828665568369	500.0	1.0		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.31009365244536935	0.0	0.2959285004965243	0.0	0.3256830601092896	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	485.92947080600425	euclidean	0.0
