	cluster_n	completeness	contamination	data_frac	f1_macro	hash	homogeneity	in_f1	min_cluster_sizes_	mix_ratios_	n_comps_	out_f1	out_prec	out_rec	seed	time	umap_metrics_	v_measure
31	3.0	1.0	0.1	0.15	0.4995705667661534	15|0.4|cosine|90	0.0	0.9044481054365733	90.0	0.4	15.0	0.0946930280957336	0.0903674280039722	0.0994535519125683	44.0	17.828694960000576	cosine	0.0
32	3.0	1.0	0.1	0.15	0.5329325289817433	15|0.4|cosine|45	0.0	0.9108182317408018	45.0	0.4	15.0	0.15504682622268467	0.14796425024826215	0.1628415300546448	44.0	17.26572709300308	cosine	0.0
33	3.0	1.0	0.1	0.15	0.5070482479524064	15|0.3|cosine|90	0.0	0.9058758923668315	90.0	0.3	15.0	0.10822060353798127	0.10327706057596822	0.11366120218579236	44.0	16.297827189999225	cosine	0.0
34	3.0	1.0	0.1	0.15	0.5358085602072251	15|0.3|cosine|45	0.0	0.9113673805601318	45.0	0.3	15.0	0.1602497398543184	0.1529294935451837	0.16830601092896175	44.0	15.85054572000081	cosine	0.0
35	2.0	1.0	0.1	0.15	0.5415606226581888	200|0.4|cosine|90	0.0	0.9124656781987919	90.0	0.4	200.0	0.17065556711758587	0.1628599801390268	0.17923497267759564	43.0	72.10053811800026	cosine	0.0
36	2.0	1.0	0.1	0.15	0.46970064114249155	200|0.4|cosine|45	0.0	0.89879743012465	45.0	0.4	200.0	0.04060385216033316	0.03876739562624255	0.04262295081967213	43.0	69.9251888559993	cosine	0.0
37	2.0	1.0	0.1	0.15	0.6169126407658141	200|0.4|cosine|15	0.0	0.9268533772652389	15.0	0.4	200.0	0.3069719042663892	0.2929493545183714	0.3224043715846995	43.0	65.92972081900007	cosine	0.0
38	3.0	1.0	0.1	0.15	0.49094247308970784	200|0.15|cosine|90	0.0	0.9028006589785832	90.0	0.15	200.0	0.07908428720083246	0.07547169811320754	0.08306010928961749	43.0	65.05482863699945	cosine	0.0
39	3.0	1.0	0.1	0.15	0.4696598420211419	200|0.15|cosine|45	0.0	0.8987369577155409	45.0	0.15	200.0	0.04058272632674298	0.038728897715988087	0.04262295081967213	43.0	62.138823187000526	cosine	0.0
40	2.0	1.0	0.1	0.15	0.5312069102464541	200|0.3|cosine|90	0.0	0.9104887424492037	90.0	0.3	200.0	0.15192507804370448	0.14498510427010924	0.15956284153005465	43.0	68.95102761499948	cosine	0.0
41	2.0	1.0	0.1	0.15	0.4679342232858528	200|0.3|cosine|45	0.0	0.8984074684239429	45.0	0.3	200.0	0.03746097814776275	0.03574975173783516	0.03934426229508197	43.0	65.82034060500155	cosine	0.0
42	3.0	1.0	0.1	0.15	0.6957158963440175	200|0.4|cosine|15	0.0	0.941900054914882	15.0	0.4	200.0	0.44953173777315303	0.42899702085402186	0.4721311475409836	42.0	69.3502534979998	cosine	0.0
43	3.0	1.0	0.1	0.15	0.4782879356975876	200|0.15|cosine|90	0.0	0.900384404173531	90.0	0.15	200.0	0.05619146722164413	0.05362462760675273	0.05901639344262295	42.0	69.25666197499959	cosine	0.0
44	3.0	1.0	0.1	0.15	0.5133755166484665	200|0.4|cosine|90	0.0	0.9070840197693575	90.0	0.4	200.0	0.11966701352757544	0.11420059582919563	0.12568306010928962	44.0	75.39935611400142	cosine	0.0
45	3.0	1.0	0.1	0.15	0.6456729530206329	200|0.15|cosine|15	0.0	0.9323448654585393	15.0	0.15	200.0	0.35900104058272636	0.3426017874875869	0.3770491803278688	42.0	62.041186121001374	cosine	0.0
46	3.0	1.0	0.1	0.15	0.5156763416288519	45|0.3|cosine|90	0.0	0.9075233388248214	90.0	0.3	45.0	0.12382934443288242	0.11817279046673287	0.13005464480874318	42.0	22.31593331199838	cosine	0.0
47	3.0	1.0	0.1	0.15	0.6324432093834162	45|0.15|cosine|15	0.0	0.9298187808896211	15.0	0.15	45.0	0.3350676378772113	0.31976166832174774	0.3519125683060109	42.0	16.866923256999144	cosine	0.0
48	3.0	1.0	0.1	0.15	0.5047474229720208	15|0.4|cosine|90	0.0	0.9054365733113673	90.0	0.4	15.0	0.10405827263267428	0.09930486593843098	0.1092896174863388	42.0	18.03936277699904	cosine	0.0
