	cluster_n	completeness	contamination	data_frac	f1_macro	hash	homogeneity	in_f1	min_cluster_sizes_	mix_ratios_	n_comps_	out_f1	out_prec	out_rec	seed	time	umap_metrics_	v_measure
12	3.0	1.0	0.1	0.015	0.5105883699633699	10|0.4|cosine|30	0.0	0.9065934065934065	30.0	0.4	10.0	0.11458333333333334	0.10891089108910891	0.12087912087912088	42.0	3.169947245000003	cosine	0.0
13	3.0	1.0	0.1	0.015	0.5969551282051282	10|0.4|cosine|60	0.0	0.923076923076923	60.0	0.4	10.0	0.2708333333333333	0.25742574257425743	0.2857142857142857	42.0	3.3689863680010603	cosine	0.0
14	3.0	1.0	0.1	0.015	0.5508928571428572	10|0.4|cosine|90	0.0	0.9142857142857144	90.0	0.4	10.0	0.18749999999999997	0.1782178217821782	0.1978021978021978	42.0	3.2798789690004924	cosine	0.0
15	1.0	1.0	0.1	0.015	0.47631441957313897	10|0.4|cosine|120	0.0	0.9526288391462779	120.0	0.4	10.0	0.0	0.0	0.0	42.0	3.1984253249993344	cosine	0.0
16	3.0	1.0	0.1	0.015	0.5221039377289378	10|0.5|cosine|30	0.0	0.9087912087912089	30.0	0.5	10.0	0.13541666666666666	0.12871287128712872	0.14285714285714285	42.0	3.6372952710007667	cosine	0.0
17	3.0	1.0	0.1	0.015	0.5969551282051282	10|0.5|cosine|60	0.0	0.923076923076923	60.0	0.5	10.0	0.2708333333333333	0.25742574257425743	0.2857142857142857	42.0	3.5231447750011284	cosine	0.0
18	3.0	1.0	0.1	0.015	0.6718063186813187	10|0.5|cosine|90	0.0	0.9373626373626374	90.0	0.5	10.0	0.40625	0.38613861386138615	0.42857142857142855	42.0	3.661401367000508	cosine	0.0
19	3.0	1.0	0.1	0.015	0.6257440476190476	10|0.5|cosine|120	0.0	0.9285714285714285	120.0	0.5	10.0	0.3229166666666667	0.3069306930693069	0.34065934065934067	42.0	3.563419375999729	cosine	0.0
20	3.0	1.0	0.1	0.015	0.5336195054945054	10|0.6|cosine|30	0.0	0.910989010989011	30.0	0.6	10.0	0.15625	0.1485148514851485	0.16483516483516483	42.0	3.805258219999814	cosine	0.0
21	3.0	1.0	0.1	0.015	0.6315018315018315	10|0.6|cosine|60	0.0	0.9296703296703297	60.0	0.6	10.0	0.33333333333333337	0.31683168316831684	0.3516483516483517	42.0	3.9209568760015827	cosine	0.0
22	3.0	1.0	0.1	0.015	0.6833218864468865	10|0.6|cosine|90	0.0	0.9395604395604397	90.0	0.6	10.0	0.4270833333333333	0.40594059405940597	0.45054945054945056	42.0	3.8332533339998918	cosine	0.0
23	1.0	1.0	0.1	0.015	0.47631441957313897	10|0.6|cosine|120	0.0	0.9526288391462779	120.0	0.6	10.0	0.0	0.0	0.0	42.0	3.9435028200005036	cosine	0.0
24	3.0	1.0	0.1	0.015	0.4875572344322344	10|1.0|cosine|30	0.0	0.9021978021978022	30.0	1.0	10.0	0.07291666666666667	0.06930693069306931	0.07692307692307693	42.0	4.927075520001381	cosine	0.0
25	3.0	1.0	0.1	0.015	0.5278617216117215	10|1.0|cosine|60	0.0	0.9098901098901098	60.0	1.0	10.0	0.14583333333333334	0.13861386138613863	0.15384615384615385	42.0	4.989132605000123	cosine	0.0
26	3.0	1.0	0.1	0.015	0.5508928571428572	10|1.0|cosine|90	0.0	0.9142857142857144	90.0	1.0	10.0	0.18749999999999997	0.1782178217821782	0.1978021978021978	42.0	5.100725033000344	cosine	0.0
27	3.0	1.0	0.1	0.015	0.6833218864468865	10|1.0|cosine|120	0.0	0.9395604395604397	120.0	1.0	10.0	0.4270833333333333	0.40594059405940597	0.45054945054945056	42.0	5.0340446310001425	cosine	0.0
28	3.0	1.0	0.1	0.015	0.48179945054945056	5|0.6|cosine|30	0.0	0.9010989010989011	30.0	0.6	5.0	0.0625	0.0594059405940594	0.06593406593406594	42.0	3.5361943199986854	cosine	0.0
29	1.0	1.0	0.1	0.015	0.47631441957313897	5|0.5|cosine|120	0.0	0.9526288391462779	120.0	0.5	5.0	0.0	0.0	0.0	42.0	3.322554623000542	cosine	0.0
